                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.81244,                  1.225,                0.65002,                 1.0037,                0.79162,                0.71084,                0.75371,                0.55096,                0.73795,                0.66265,                0.65208,                0.22954,                  0.957,                 1.0363,                0.93672,                0.93614,              0.0090595,              0.0090595,              0.0090595
                     71,                0.80252,                 1.2188,                0.63902,                0.99925,                0.79851,                0.69076,                0.75229,                0.55543,                0.75518,                0.63855,                0.64757,                 0.2204,                0.98212,                 1.1292,                0.99941,                0.95924,                0.00901,                0.00901,                0.00901
                     72,                 0.8159,                 1.2245,                0.64491,                 1.0009,                0.80236,                0.69076,                0.74378,                0.56617,                0.73586,                0.64257,                0.65508,                0.22522,                0.94386,                 1.0992,                0.94179,                0.90463,              0.0089605,              0.0089605,              0.0089605
                     73,                0.79288,                 1.2216,                0.64239,                0.99642,                0.78701,                0.70281,                0.72169,                 0.5557,                0.70514,                0.62249,                0.61564,                0.21866,                 0.9767,                  1.087,                0.96989,                0.97919,               0.008911,               0.008911,               0.008911
                     74,                0.79045,                 1.2032,                0.62623,                0.99241,                 0.7786,                0.72028,                0.75104,                 0.5768,                0.73103,                 0.6747,                0.65672,                0.23432,                0.95013,                 1.0652,                0.90408,                0.96268,              0.0088615,              0.0088615,              0.0088615
                     75,                0.79886,                 1.2234,                 0.6372,                0.99559,                0.78452,                0.74699,                0.72939,                0.55094,                0.78281,                0.64257,                0.63844,                0.22244,                0.98496,                 1.0626,                0.90623,                0.95455,               0.008812,               0.008812,               0.008812
                     76,                0.78134,                 1.1992,                0.61595,                0.98983,                0.79411,                0.71255,                0.73366,                0.57364,                0.77754,                0.64569,                0.63541,                0.22344,                0.98137,                 1.1013,                0.91727,                0.97328,              0.0087625,              0.0087625,              0.0087625
                     77,                0.79615,                 1.2102,                0.62322,                0.98967,                0.83213,                0.71668,                0.76767,                0.57492,                0.78402,                 0.6747,                0.67758,                0.22626,                0.93087,                 1.0879,                0.93596,                0.91949,               0.008713,               0.008713,               0.008713
                     78,                0.79252,                 1.1957,                 0.6175,                0.99282,                 0.8343,                0.71486,                0.74962,                0.55247,                0.76007,                 0.6506,                0.63132,                 0.2148,                0.98794,                 1.1334,                0.93679,                0.95367,              0.0086635,              0.0086635,              0.0086635
                     79,                 0.7818,                 1.2107,                0.61797,                0.98696,                0.85093,                0.73357,                 0.7718,                0.58547,                0.81336,                0.70007,                0.69896,                0.23567,                0.96249,                 1.0448,                0.90119,                0.94381,               0.008614,               0.008614,               0.008614
                     80,                0.78293,                  1.211,                0.61641,                0.98211,                0.80567,                0.71084,                0.73527,                0.55616,                0.74027,                0.64099,                0.62761,                 0.2205,                 0.9712,                 1.0804,                0.94884,                0.95363,              0.0085645,              0.0085645,              0.0085645
                     81,                0.77648,                 1.1916,                0.61408,                 0.9871,                0.75367,                0.77108,                0.75465,                0.56004,                0.70008,                0.70683,                0.65963,                0.22505,                0.95882,                 1.0638,                0.93917,                0.95272,               0.008515,               0.008515,               0.008515
                     82,                0.77632,                 1.1932,                0.61201,                0.98237,                0.78015,                0.72691,                0.74108,                0.54843,                0.67338,                0.62098,                0.56441,                0.19794,                0.96921,                 1.1563,                0.94518,                 0.9527,              0.0084655,              0.0084655,              0.0084655
                     83,                0.77264,                    1.2,                0.59795,                0.98044,                0.74424,                0.73092,                0.73861,                0.56172,                0.65027,                0.61232,                0.57554,                0.21164,                0.96731,                 1.1336,                0.94649,                0.93607,               0.008416,               0.008416,               0.008416
                     84,                 0.7731,                  1.201,                0.60254,                0.98133,                0.80844,                0.68273,                0.76075,                0.58578,                0.77223,                0.65356,                0.68222,                0.23277,                0.92951,                 1.0662,                0.86334,                0.93288,              0.0083665,              0.0083665,              0.0083665
                     85,                0.78268,                 1.2312,                0.60584,                0.98484,                0.79815,                0.69872,                0.75112,                0.57415,                0.71735,                0.64257,                0.62687,                0.21717,                0.93278,                 1.0857,                0.95704,                0.92439,               0.008317,               0.008317,               0.008317
                     86,                0.78746,                 1.1975,                0.61889,                0.99093,                0.77607,                0.72289,                0.76223,                0.58453,                0.70314,                0.65635,                0.62979,                0.21796,                0.92921,                  1.102,                 0.9049,                0.94694,              0.0082675,              0.0082675,              0.0082675
                     87,                0.77905,                 1.1992,                0.61317,                0.98855,                0.81121,                0.69029,                 0.7788,                0.59947,                0.76864,                0.62249,                0.67244,                0.23458,                0.96353,                 1.1062,                0.88762,                0.94533,               0.008218,               0.008218,               0.008218
